cod_assunto;cod_item_pai;artigo;dispositivo_legal;nome;glossario
4,934;5,724;Arts. 997 a 1.000;Lei nº 10.406/02 (Código Civil) - .;Constituição;Conceito: Para a formação da sociedade é necessária a composição de seu capital social, isto é faz-se mister determinar o montante desse capital e em quantas cotas ou ações será ele dividido. Formado o capital, a sociedade poderá iniciar a negociação de suas cotas ou ações. O capital social é o primeiro patrimônio da empresa e corresponde á soma das integralizações feitas pelos sócios.
4,935;5,724;Arts. 1.033 a 1.038;Lei nº 10.406/02 (Código Civil) - .;Dissolução;Conceito: Etimologicamente, significa rompimento, cessação, extinção de um pacto ou contrato. Dá-se a dissolução, pois, da sociedade comercial com sua posterior extinção. Por outras palavras, dissolução é o processo pelo qual se extingue a sociedade comercial.(Amador Paes de Almeida) Manual das Sociedades Comerciais.
4,939;5,724;- Art. 50.;Lei nº 10.406/02 (Código Civil);Desconsideração da Personalidade Jurídica;Conceito: Ato pelo qual o magistrado, num dado caso concreto, não considera os efeitos da personificação ou da autonomia jurídica da sociedade, para atingir e vincular a responsabilidade dos sócios, com o intuito de impedir a consumação de fraudes e abusos de direito cometidos por meio da personalidade jurídica que causem prejuízos ou danos a terceiros.(Maria helena Diniz) Dicionário Jurídico.
4,94;5,724;Art. 1.057 e 1.028 a 1.032. e 1.004.;Lei nº 10.406/02 (Código Civil) -;Ingresso e Exclusão dos Sócios na Sociedade;Conceito: Os sócios tem a seu critério o estabelecimento de regras, com maior ou menor rigor em relação à preservação do fator intuitu personae, na medida em que este tem grande relevância para o desenvolvimento do objeto da sociedade. No silencia do contrato social, o sócio pode ceder sua quota , total ou parcialmente, a quem seja sócio, sem que seja necessária a aprovação dos demais. Quando a cessão for feita a terceiros, a pessoalidade assume relevância maior, na medida em que pode gerar, na forma da lei, o bloqueio do ingresso do novo sócio, por titulares de mais de um quarto do capital social. Mesmo na cessão de quotas, por morte do sócio, a questão se impõe.(Arnold Wald) RDBMC 36/283. O sócio remisso, ou seja, aquele que não realiza, na forma e prazo previstos no contrato social, as contribuições a que se obrigara, poderá preferir entre a indenização, a sua exclusão da sociedade ou a redução de sua quota ao montante que efetivamente já estiver realizado, permanecendo, neste caso, como sócio, mas em proporção menor. Pode ser excluído também mediante a iniciativa da maioria dos demais sócios, em virtude, em virtude de falta grave no cumprimento de suas obrigações, verificável por exemplo, quando descurar do seu dever de lealdade á sociedade, ou ainda, por superveniente incapacidade, casos em que a exclusão deverá ser judicial. Existem ainda mais duas hipóteses: a do sócio declarado falido e a do sócio cuja quota tenha sido liquidada por requerimento de seu credor particular, aqui a exclusão ocorre de pleno direito.(Sérgio Campinho) O Direito de Empresa á Luz do Novo Código Civil.
4,942;5,724;Art. 1.022 a 1.027.;Lei nº 10.406/02 (Código Civil) -;Responsabilidade dos sócios e administradores;Conceito: A responsabilidade dos sócios está intimamente ligada a uma série de fatores, dentre os quais cumpre destacar as diversas espécies de sociedades. Assim, em atenção a esses elementos, os sócios são de duas espécies: solidários e de responsabilidade limitada. Os primeiros, como o próprio nome deixa entrever, são de responsabilidade ilimitada e, conseqüentemente, respondem pelas obrigações sociais contraídas pela sociedade de que fazem parte. Já os sócios de responsabilidade limitada, integralizada sua quota-parte, constituído o capital social, nenhuma responsabilidade subsiste deste para com terceiros, ficando o seu patrimônio inteiramente imune às obrigações sociais, não se podendo falar nem mesmo em responsabilidade subsidiária.
4,943;5,724;Art. 997 e 999.;Lei nº 10.406/02 (Código Civil) -;Transferência de cotas;Conceito: O cotista deve procurar entre os sócios ou junto a terceiros, alguém interessado em adquirir-lhe a participação societária, chegando a acordo relativamente ao preço, e obtida a anuência dos demais membros da sociedade, quando necessária, formaliza-se, em alteração contratual, a substituição no quadro de sócios. Sai o cedente das cotas, entra o cessionário. Aqui, o desligamento se faz por ato bilateral, do qual não é parte a sociedade limitada. O cedente recebe, pela sua participação, o valor negociado, quem paga é o cessionário.(FÁBIO ULHOA COELHO) Curso de Direito Comercial vol. 2 2ª edição. São Paulo, saraiva, 2000. pg. 419.
4,949;7,681;arts. 887 a 926;Lei 10.406/02 (Código Civil);Títulos de Crédito;Conceito: Manifestação unilateral da vontade do agente, materializada em um instrumento, pela qual ele se obriga a uma prestação determinada, independentemente de qualquer ato de aceitação emanado de outro agente. (Caio Mário da Silva Pereira)
4,951;4,949;arts. 907 a 913;"Lei nº 10.406/02 (Código Civil) - ;";Anulação;Conceito: Aquele que perder título ao portador ou dele houver sido injustamente desapossado, poderá reivindicá-lo da pessoa que o detiver ou requerer-lhe a anulação e substituição por outro. (art. 907 do Código de Processo Civil)
4,957;4,949;"- art. 889;";Lei nº 10.406/02 (Código Civil);Requisitos;Conceito: Deve o título de crédito conter a data da emissão, a indicação precisa dos direitos que confere, e a assinatura do emitente
4,96;7,717;art. 1º;"Medida Provisória nº 2160-25, de 13.08.2001;";Cédula de Crédito Bancário;Conceito: A Cédula de Crédito Bancário é título de crédito emitido, por pessoa física ou jurídica, em favor de instituição financeira ou de entidade a esta equiparada, representando promessa de pagamento em dinheiro, decorrente de operação de crédito, de qualquer modalidade. (Medida Provisória nº 1.925-13, de 19 de outubro de 2000 %u2013 art. 1º).
4,961;7,717;art. 1º;"Lei Federal nº 6313/75;";Cédula de Crédito à Exportação;Conceito: Cédula de Crédito à Exportação é título que poderá ser emitido por pessoa física e jurídica que se dedique às atividades de exportação ou complementares. Serão admitidos tais títulos nas operações de financiamento à exportação ou a produção de bens para exportação, realizadas por instituições financeiras. (Lei nº 6.313, de 16 de dezembro de 1975).
4,962;7,717;art. 1º;"Lei Federal nº 6840/80;";Cédula de Crédito Comercial;Conceito: A Cédula de Crédito Comercial é título concedido por um banco a comerciante como garantia real do empréstimo feito. (Dicionário Jurídico %u2013 Maria Helena Diniz
4,963;7,717;"arts. 9º a 14 e 19 a 52;";Decreto-Lei nº 413/69 (TCI),;Cédula de Crédito Industrial;Conceito: A Cédula de Crédito Industrial é promessa de pagamento em dinheiro, com garantia real, cedularmente constituída. A cédula de crédito industrial é título líquido e certo, exigível pela soma dela constante ou do endosso, além dos juros, da comissão de fiscalização, se houver, e demais despesas que o credor fizer para segurança, regularidade e realização de seu direito creditório.
4,964;7,717;"arts. 9º a 41;";Decreto-Lei nº 167/67,;Cédula de Crédito Rural;A cédula de crédito rural é promessa de pagamento em dinheiro, sem ou com garantia real cedularmente constituída, sob as seguintes denominações e modalidades: I - Cédula Rural Pignoratícia. II - Cédula Rural Hipotecária. III - Cédula Rural Pignoratícia e Hipotecária. IV - Nota de Crédito Rural. A cédula de crédito rural é título civil, líquido e certo, exigível pela soma dela constante ou do endosso, além dos juros, da comissão de fiscalização, se houver, e demais despesas que o credor fizer para segurança, regularidade e realização de seu direito creditório. (Decreto-lei nº 167, de 14 de fevereiro de 1967).
4,968;7,717;art. 1º;"Lei Federal nº 8929/94;";Cédula de Produto Rural;Conceito: A Cédula de Produto Rural é título líquido e certo, exigível pela quantidade e qualidade de produto nela previsto. (Lei nº 8.929, de 22 de agosto de 1994).
4,969;7,717;Lei nº 10.406/02 (Código Civil) - art. 1486;Lei nº 10.406/02 (Código Civil) - art. 1486;Cédula Hipotecária;"Conceito: É instituída a cédula hipotecária para hipotecas inscritas no Registro Geral de Imóveis, como instrumento hábil para a representação dos respectivos créditos hipotecários, a qual poderá ser emitida pelo credor hipotecário nos casos de: I - operações compreendidas no Sistema Financeiro da Habitação; II - hipotecas de que sejam credores instituições financeiras em geral, e companhias de seguro; III - hipotecas entre outras partes, desde que a cédula hipotecária seja originariamente emitida em favor das pessoas jurídicas a que se refere o inciso II supra"
4,97;7,717;arts. 1º a 62;"Lei Federal nº 7357/85 (Lei do Cheque);";Cheque;Conceito: O Cheque é um título de crédito que representa uma ordem de pagamento à vista contra um banco (sacado) para pagar certa soma, ao portador ou à pessoa indicada (tomador), por conta de fundos que são do emitente (sacador). (Dicionário Jurídico %u2013 Maria Helena Diniz).
4,971;7,717;art. 52;"Lei Federal nº 6404/76, art. 72;";Debêntures;Conceito: Debênture é um título de crédito mobiliário emitido por uma sociedade anônima ou em comandita por ações, representativo de uma fração de um empréstimo ou dívida da empresa, garantido pelos bens do ativo do patrimônio social, sendo que o emissor se obriga ao pagamento de juros preestabelecidos sobre o total da prestação. (Dicionário Jurídico %u2013 Maria Helena Diniz).
4,972;7,717;art. 1º;"Lei Federal nº 5474/68;";Duplicata;Conceito: Duplicata é um título de crédito causal, negociável e no qual o comprador se compromete a pagar a importância da fatura dentro do prazo avençado. (Dicionário Jurídico %u2013 Maria Helena Diniz).
4,973;7,717;"arts. 1º a 53;";Decreto nº 2044/1908,;Letra de Câmbio;"Conceito: Título de crédito, ao portador ou nominativo, contendo ordem escrita do emitente (sacador) ao aceitante (sacado) para que pague determinada quantia a terceiro (tomador), que é o beneficiário no local e no prazo designado; transferível por endosso. É uma ordem de pagamento à vista ou a prazo. (Dicionário Jurídico %u2013 Maria Helena Diniz)."
4,974;7,717;art. 1º e 5º;"Lei nº 6840/80;";Nota de Crédito Comercial;Conceito: A Nota de Crédito Comercial é promessa de pagamento em dinheiro, sem garantia real. (Títulos de Crédito %u2013 Waldirio Bulgarelli).
4,975;7,717;arts. 15 a 18;"Decreto-Lei nº 413/69 (TCI), arts, 15 a 18;";Nota de Crédito Industrial;Conceito: A Nota de Crédito Industrial é promessa de pagamento em dinheiro, sem garantia real. (Decreto-lei nº 413, de 9 de janeiro de 1969).
4,976;7,717;arts. 27 a 29;"Decreto-lei nº 167/67, ;";Nota de Crédito Rural;Conceito: Instrumento de financiamento rural. É o título de crédito civil que encerra promessa de pagamento a prazo, sem garantia real, com a indicação da finalidade ruralista a que se destina, contendo, ainda, taxa de juros a pagar, comissão de fiscalização, se houver, e tempo de seu pagamento. (Dicionário Jurídico %u2013 Maria Helena Diniz).
4,98;7,717;arts. 54 a 57;"Decreto nº 2044/1908, arts. 54 a 57;";Nota Promissória;Conceito: Título de crédito em que o emitente se compromete a pagar certa quantia pecuniária, em determinada data, a uma pessoa natural ou jurídica (tomador ou beneficiário) ou à sua ordem. (Dicionário Jurídico %u2013 Maria Helena Diniz).
4,981;7,717;"Decreto 1102, art. 15; Lei 11076, art. 1º";"Decreto nº 1102/1903 , Lei Federal nº 9973/2000,Lei Federal nº 11076/2004;";Warrant;Conceito: O warrant é título à ordem emitido sobre gêneros ou mercadorias em depósito. É título causal, consistente em promessa de pagamento. Destina-se a conferir ao portador um direito real de penhor sobre a mercadoria nele especificada até a concorrência da quantia enunciada no seu primeiro endosso. (Títulos de Crédito %u2013 Waldirio Bulgarelli).
4,994;4,993;Arts. 161 a 167;Lei: 11.101/05;Recuperação extrajudicial;Conceito: O devedor, para resolver problemas de liquidez, propõe a seus credores, na maioria dos casos, remissão ou dilação. A finalidade é dar transparência e segurança às negociações, desde que seja garantido aos credores as mesmas condições de prorrogação de prazo de vencimento ou redução percentual do passivo. (Paulo Penalva Santos) RF 381/189.
4,998;4,993;Arts. 105 a 107;Lei: 11.101/05;Autofalência;Conceito: É a decretação da falência baseada em pedido do próprio devedor que assume seu estado de insolvência e declara não ter condições de se recuperar.(Victor Eduardo Rios Gonçalves) Direito Falimentar.
5;4,993;artigos 83 e 84 115;Lei: 11.101/05;Concurso de Credores;Conceito: Todos os credores devem concorrer a esse processo e a esse juízo. Significa que, em geral, todo credor só tem esse juízo e esse processo para pleitear o pagamento ou satisfação do que lhe é devido pelo falido ou sociedade falida. ( José da Silva Pacheco) Processo de Recuperação Judicial, Extrajudicial e Falência.
5,001;4,993;Arts 139 a 153;Lei: 11.101/05 -;Liquidação;Conceito: É a imediata aquisição dos bens arrecadados por um credor ou por credores em conjunto, ou a sua adjudicação. (Ricardo Tepedino) Comentários a Lei de Recuperação de Empresas e Falência - Carlos Henrique Abrão %u2013 Paulo F. C. Salles de Toledo
5,003;4,993;arts. 130;Lei: 11.101/05;Revogação de atos praticados em prejuízo de credores e da massa;<<p>> Conceito: Art. 130 S&ão revog&áveis os atos praticados com a inten&ç&ão de prejudicar credores, provando-se o conluio fraudulento entre o devedor e o terceiro que com ele contratar e o efetivo preju&ízo sofrido pela massa falida.<</p>>
5,01;5,009;Lei 4728, art. 5º;Lei: 4.728/65, Decreto-Lei: 1.401/76, Resolução CMN: 1.289/87, Lei: 10.303/01;Bolsa de Valores;Conceito: As bolsas de valores são associações civis, sem fins lucrativos e com funções de interesse público. Atuando como delegadas do poder público, tem ampla autonomia em sua esfera de responsabilidade. Além de seu papel básico de oferecer um mercado para a cotação dos títulos nelas registrados, orientar e fiscalizar os serviços prestados por seus membros, facilitar a divulgação constante de informações sobre as empresas e sobre os negócios que se realizam sob seu controle, as bolsas de valores propiciam liquidez às aplicações de curto e longo prazos, por intermédio de um mercado contínuo, representado por seus pregões diários. É por meio das bolsas de valores que se pode viabilizar um importante objetivo de capitalismo moderno: o estímulo à poupança do grande público e ao investimento em empresas em expansão, que, diante deste apoio, poderão assegurar as condições para seu desenvolvimento.
5,193;7,783;art. 2º, II;Lei 9537;Engajamento e Profissionais Marítimos;Questões quanto ao rol de tripulantes relacionado às exigências administrativas de fiscalização.
5,194;7,783;Arts. 666 a 730;Ccom;Seguros Marítimos;Define a forma em que ocorre os seguros marítimos.
5,196;7,783;Arts. 566 a 574;Ccom;Aluguel de Embarcações (Fretamento E Carta Partida);Questões acerca do modo em que se dá o aluguel das embarcações.
5,356;1,937;Art. 2º, § 2º;CLT;Grupo Econômico;
5,555;287;14, II;CP;Crime Tentado;<<p>> Assunto secund&ário ou complementar de todos os crimes que a admitem. A ser cadastrado ap&ós o assunto principal (crime tentado). N&ão pode ser cadastrado sem o assunto principal.<</p>>
5,556;3,385;129, § 1º;CP;Grave;"<<p>> Art. 129. Ofender a integridade corporal ou a sa&úde de outrem:& <</p>> <<p>> &§ 1&º Se resulta:<</p>> <<p>> & & & & & & &  I - Incapacidade para as ocupa&ç&ões habituais, por mais de trinta dias;<</p>> <<p>> & & & & & & &  II - perigo de vida;<</p>> <<p>> & & & & & & &  III - debilidade permanente de membro, sentido ou fun&ç&ão;<</p>> <<p>> & & & & & & &  IV - acelera&ç&ão de parto:<</p>> <<p>> & & & & & & &  Pena - reclus&ão, de um a cinco anos.<</p>>"
5,557;3,385;129, § 2º;CP;Gravíssima;"<<p>> Art. 129. Ofender a integridade corporal ou a sa&úde de outrem:& <</p>> <<p>> &§ 2&° Se resulta:<</p>> <<p>> I - Incapacidade permanente para o trabalho;<</p>> <<p>> II - enfermidade incuravel;<</p>> <<p>> III - perda ou inutiliza&ç&ão do membro, sentido ou fun&ç&ão;<</p>> <<p>> IV - deformidade permanente;<</p>> <<p>> V - aborto:<</p>> <<p>> Pena - reclus&ão, de dois a oito anos.<</p>>"
5,558;3,385;129, § 4º;CP;Privilegiada;Art. 129. Ofender a integridade corporal ou a saúde de outrem: Pena - detenção, de três meses a um ano. § 4° Se o agente comete o crime impelido por motivo de relevante valor social ou moral ou sob o domínio de violenta emoção, logo em seguida a injusta provocação da vítima, o juiz pode reduzir a pena de um sexto a um terço.
5,56;3,385;129, § 9º e 11;CP;Decorrente de Violência Doméstica;<<p>> Art. 129. Ofender a integridade corporal ou a sa&úde de outrem: Pena - deten&ç&ão, de tr&ês meses a um ano. &§ 9o Se a les&ão for praticada contra ascendente, descendente, irm&ão, c&ônjuge ou companheiro, ou com quem conviva ou tenha convivido, ou, ainda, prevalecendo-se o agente das rela&ç&ões dom&ésticas, de coabita&ç&ão ou de hospitalidade: (Reda&ç&ão dada pela Lei n&º 11.340, de 2006) Pena - deten&ç&ão, de 3 (tr&ês) meses a 3 (tr&ês) anos. (Reda&ç&ão dada pela Lei n&º 11.340, de 2006) &§ 11. Na hip&ótese do &§ 9o deste artigo, a pena ser&á aumentada de um ter&ço se o crime for cometido contra pessoa portadora de defici&ência. (Inclu&ído pela Lei n&º 11.340, de 2006)<</p>>
5,564;3,415;155, § 2º;CP;Furto Privilegiado;Art. 155 - Subtrair, para si ou para outrem, coisa alheia móvel: Pena - reclusão, de um a quatro anos, e multa. § 2º - Se o criminoso é primário, e é de pequeno valor a coisa furtada, o juiz pode substituir a pena de reclusão pela de detenção, diminuí-la de um a dois terços, ou aplicar somente a pena de multa.
5,565;3,415;155, § 5º;CP;Furto de Veículo Automotor a ser Transportado para outro Estado ou Exterior;Art. 155 - Subtrair, para si ou para outrem, coisa alheia móvel: Pena - reclusão, de um a quatro anos, e multa. § 5º - A pena é de reclusão de 3 (três) a 8 (oito) anos, se a subtração for de veículo automotor que venha a ser transportado para outro Estado ou para o exterior. (Incluído pela Lei nº 9.426, de 1996)
5,566;3,415;157, § 2º;CP;Roubo Majorado;"Art. 157 - Subtrair coisa móvel alheia, para si ou para outrem, mediante grave ameaça ou violência a pessoa, ou depois de havê-la, por qualquer meio, reduzido à impossibilidade de resistência: Pena - reclusão, de quatro a dez anos, e multa. § 2º - A pena aumenta-se de um terço até metade: I - se a violência ou ameaça é exercida com emprego de arma; II - se há o concurso de duas ou mais pessoas; III - se a vítima está em serviço de transporte de valores e o agente conhece tal circunstância. IV - se a subtração for de veículo automotor que venha a ser transportado para outro Estado ou para o exterior; (Incluído pela Lei nº 9.426, de 1996) V - se o agente mantém a vítima em seu poder, restringindo sua liberdade. (Incluído pela Lei nº 9.426, de 1996)"
5,567;3,415;157, § 3º, 2ª parte;CP;Latrocínio;"Art. 157 - Subtrair coisa móvel alheia, para si ou para outrem, mediante grave ameaça ou violência a pessoa, ou depois de havê-la, por qualquer meio, reduzido à impossibilidade de resistência: Pena - reclusão, de quatro a dez anos, e multa. § 3º Se da violência resulta lesão corporal grave, a pena é de reclusão, de sete a quinze anos, além da multa; se resulta morte, a reclusão é de vinte a trinta anos, sem prejuízo da multa. (Redação dada pela Lei nº 9.426, de 1996) Vide Lei nº 8.072, de 25.7.90"
5,568;3,415;159, § 3º;CP;Extorsão mediante Seqüestro Seguida de Morte;Art. 159 - Seqüestrar pessoa com o fim de obter, para si ou para outrem, qualquer vantagem, como condição ou preço do resgate: Vide Lei nº 8.072, de 25.7.90 Pena - reclusão, de oito a quinze anos. (Redação dada pela Lei nº 8.072, de 25.7.1990) § 3º - Se resulta a morte: Vide Lei nº 8.072, de 25.7.90 Pena - reclusão, de vinte e quatro a trinta anos. (Redação dada pela Lei nº 8.072, de 25.7.1990)
5,569;3,415;159, § 2º;CP;Extorsão mediante Sequestro Seguida de Lesão Corporal Grave;Art. 159 - Seqüestrar pessoa com o fim de obter, para si ou para outrem, qualquer vantagem, como condição ou preço do resgate: Vide Lei nº 8.072, de 25.7.90 Pena - reclusão, de oito a quinze anos. (Redação dada pela Lei nº 8.072, de 25.7.1990) § 2º - Se do fato resulta lesão corporal de natureza grave: Vide Lei nº 8.072, de 25.7.90 Pena - reclusão, de dezesseis a vinte e quatro anos. (Redação dada pela Lei nº 8.072, de 25.7.1990)
5,57;3,415;162;CP;Supressão ou Alteração de Marca em Animais;Art. 162 - Suprimir ou alterar, indevidamente, em gado ou rebanho alheio, marca ou sinal indicativo de propriedade: Pena - detenção, de seis meses a três anos, e multa.
5,571;3,415;163, parágrafo único;CP;Dano Qualificado;"Art. 163 - Destruir, inutilizar ou deteriorar coisa alheia: Pena - detenção, de um a seis meses, ou multa. Parágrafo único - Se o crime é cometido: I - com violência à pessoa ou grave ameaça; II - com emprego de substância inflamável ou explosiva, se o fato não constitui crime mais grave III - contra o patrimônio da União, Estado, Município, empresa concessionária de serviços públicos ou sociedade de economia mista; (Redação dada pela Lei nº 5.346, de 3.11.1967) IV - por motivo egoístico ou com prejuízo considerável para a vítima: Pena - detenção, de seis meses a três anos, e multa, além da pena correspondente à violência."
5,572;3,415;169;I;Apropriação de Tesouro;"Art. 169 - Apropriar-se alguém de coisa alheia vinda ao seu poder por erro, caso fortuito ou força da natureza: I - quem acha tesouro em prédio alheio e se apropria, no todo ou em parte, da quota a que tem direito o proprietário do prédio;"
5,573;3,415;169, Parágrafo Único, II.;CP;Apropriação de Coisa Achada;Art. 169 - Apropriar-se alguém de coisa alheia vinda ao seu poder por erro, caso fortuito ou força da natureza: Pena - detenção, de um mês a um ano, ou multa. Parágrafo único - Na mesma pena incorre: II - quem acha coisa alheia perdida e dela se apropria, total ou parcialmente, deixando de restituí-la ao dono ou legítimo possuidor ou de entregá-la à autoridade competente, dentro no prazo de 15 (quinze) dias.
5,575;7,784;753 a 760;CCom;Abandono;Abandono da embarcação pelo Comandante por dívidas ou falta de navegabilidade, tanto a favor dos credores quanto a favor do segurador.
5,577;7,784;arts. 731 a 752;Ccom;Acidentes da Navegação;Naufrágio, encalhe, água aberta, varação, arribada, alijamento, colisão, abalroação.
5,585;1,146;15 a 21;L 9.537 (art. 2º, 19) e Lei 7652;Registro / Cadastro do Armador;Lei 9537 2º Pessoa física ou jurídica que, em seu nome e sob sua responsabilidade, apresta a embarcação com fins comerciais, pondo-a ou não a navegar por sua conta. É obrigatório o registro no Tribunal Marítimo de armador de embarcação mercante sujeita a Registro de Propriedade, mesmo quando a atividade for exercida diretamente pelo próprio proprietário. O armador se obriga a manter cadastro em órgão competente da autoridade marítima. Lei 7652-88 Art. 15. É obrigatório o registro no Tribunal Marítimo de armador de embarcação mercante sujeita a registro de propriedade, mesmo quando a atividade for exercida pelo proprietário. § 1º As disposições deste artigo são igualmente aplicáveis, ainda que se trate de embarcação mercante com arqueação bruta inferior às previstas no art. 3º desta lei, quando, provida de propulsão mecânica, se dedique a qualquer atividade lucrativa fora dos limites da navegação do porto. § 2º Só será deferido o registro de armador a pessoas ou entidades que operem, de modo habitual, embarcação com finalidade lucrativa. § 3º É obrigada, também, a registrar-se no Tribunal Marítimo, como armador, a pessoa ou entidade não enquadrada no caput ou no § 1º deste artigo, quando o somatório das arqueações brutas das embarcações por esta aprestadas ultrapassar os valores estabelecidos no art. 3º desta lei, observado o disposto no parágrafo anterior. Art. 16. Para os efeitos desta lei, compreende-se como armador a pessoa física ou jurídica que, em seu nome e sob sua responsabilidade, apresta a embarcação para sua utilização, pondo-a ou não a navegar por sua conta. Parágrafo único. Nesse conceito também se incluem aqueles que tenham o exclusivo controle da expedição, sob qualquer modalidade de cessão, embora recebam a embarcação devidamente aparelhada e tripulada, desde
5,589;7,784;479 a 483, 607 a 609;"CCom; D 15.788/1922; D 351/1935";Arresto de Embarcação;A inobservância das obrigações previstas para o proprietário de embarcação poderá implicar arresto da embarcação pelo Ministério da Marinha.
5,591;7,784;art. 1º;Lei 7203/84;Assistência / Salvamento;"A assistência prestada por uma embarcação à outra previne ou evita o sinistro; o salvamento que aquela presta a esta repara ou atenua os efeitos do sinistro."
5,592;7,784;Arts. 761 a 796;Ccom;Avaria;Avaria é aquela suportada pelo navio ou pela carga que sofreu o dano ou deu causa à despesa. Inclui avaria simples, avaria particular, avaria grossa, e avaria comum.
5,595;1,146;496 a 537;CCom;Responsabilidade do Comandante ou Capitão;Inclui a responsabilidade contratual e extracontratual, e as questões sobre os poderes disciplinares sobre a tripulação e outras questões envolvendo o Comandante ou Capitão.
5,603;1,146;1º, 2º, 3º, § ún. 4º e 5º, § ún.;Lei 7652 de 1988;Inscrição / Registro da Embarcação;Art. 1º Esta lei tem por finalidade regular o registro da propriedade marítima, dos direitos reais e demais ônus sobre embarcações e o registro de armador. CAPÍTULO II Do Registro da Propriedade de Embarcações Art. 2º O registro da propriedade tem por objeto estabelecer a nacionalidade, validade, segurança e publicidade da propriedade de embarcações. Art. 3o As embarcações brasileiras, exceto as da Marinha de Guerra, serão inscritas na Capitania dos Portos ou órgão subordinado, em cuja jurisdição for domiciliado o proprietário ou armador ou onde for operar a embarcação. (Redação dada pela Lei nº 9.774, de 1998) Parágrafo único. Será obrigatório o registro da propriedade no Tribunal Marítimo, se a embarcação possuir arqueação bruta superior a cem toneladas, para qualquer modalidade de navegação. (Redação dada pela Lei nº 9.774, de 1998) Art. 4º A aquisição de uma embarcação pode ser feita através de sua construção ou de outro meio regular em direito permitido, mas a transmissão de sua propriedade só se consolida pelo registro no Tribunal Marítimo ou, para aquelas não sujeitas a esta exigência, pela inscrição na Capitania dos Portos ou órgão subordinado. Art. 5º Ao proprietário da embarcação será expedida a Provisão de Registro da Propriedade Marítima ou o Título de Inscrição depois de ultimado o processo de registro ou de inscrição. Parágrafo único. Presume-se proprietário a pessoa física ou jurídica em cujo nome estiver registrada ou inscrita a embarcação, conforme o caso.
5,609;7,783;12, 13, 14 e 23;Lei 7652 de 1988;Hipoteca Marítima;"Art. 12. O registro de direitos reais e de outros ônus que gravem embarcações brasileiras deverá ser feito no Tribunal Marítimo, sob pena de não valer contra terceiros. § 1º Enquanto não registrados, os direitos reais e os ônus subsistem apenas entre as partes, retroagindo a eficácia do registro à data da prenotação do título. § 2º Os direitos reais e os ônus serão registrados em livro próprio, averbados à margem do registro de propriedade e anotados no respectivo título, devendo o interessado promover previamente o registro das embarcações ainda não registradas ou isentas. Art. 13. A hipoteca ou outro gravame poderão ser constituídos em favor do construtor ou financiador, mesmo na fase de construção, qualquer que seja a arqueação bruta da embarcação, devendo, neste caso, constar do instrumento o nome do construtor, o número do casco, a especificação do material e seus dados característicos e, quando for o caso, o nome do financiador. Art. 14. Os interessados, para requererem o registro dos direitos reais e de outros ônus, apresentarão o contrato que deverá conter, obrigatoriamente, além dos elementos intrínsecos ao ato: I - as características principais da embarcação, arqueação bruta, tonelagem de porte bruto e outros dados que a identifiquem devidamente; e II - a declaração de estar segurada a embarcação, exceto quando constituída hipoteca ou outro gravame real na forma permitida pelo art. 13 desta lei. § 1º O pedido de registro será apresentado mediante requerimento do proprietário ou de seu representante legal, acompanhado dos documentos necessários, à Capitania dos Portos ou órgão subordinado, em cuja jurisdição estiver incluído o porto de inscrição da embarcação, a quem caberá encaminhar o requerimento e documentos a este apensos ao Tribunal Marítimo. § 2º O registro do direito real ou do ônus será comunicado pelo Tribunal Marítimo à Capitania dos Portos em cuja jurisdição estiver incluído o porto de inscrição da embarcação, para a devida anotação. Art. 23. A hipoteca ou outro gravame será considerado extinto, cancelando-se o registro respectivo: I - pela extinção da obrigação principal; II - pela renúncia do credor; III - pela perda da embarcação; e IV - pela prescrição extintiva. Parágrafo único. O cancelamento será feito a pedido do interessado"
5,612;7,783;"477;";"CCom; L 7.652/1988";Créditos / Privilégios Marítimos;Privilégios de crédito sobre a embarcação, devidamente registrados no Tribunal Marítimo.
5,621;1,146;457 483;CCom;Serviços Auxiliares da Navegação;
5,632;7,947;arts. 189 a 211;Lei 10406/02;Prescrição e Decadência;- Prescrição: É a extinção de uma pretensão ajuizável, em virtude da inércia de seu titular durante um certo lapso de tempo, na ausência de causas preclusivas de seu curso - Decadência: É a extinção do direito pela inação de seu titular que deixa escoar o prazo legal ou voluntariamente fixado para seu exercício
5,680;9,58;"arts. 53 a 67;";Lei Federal nº 9610/98 (Lei de Direitos Autorais),;Edição;Conceito: Mediante contrato de edição, o editor, obrigando-se a reproduzir e a divulgar a obra literária, artística ou científica, fica autorizado, em caráter de exclusividade, a publicá-la e a explorá-la pelo prazo e nas condições pactuadas com o autor. Pelo mesmo contrato pode o autor obrigar-se à feitura de obra literária, artística ou científica em cuja publicação e divulgação se empenha o editor.
5,754;899;Título I, Capítulo I;Lei 10.406/02 (CCB);Pessoas naturais;Art. 1o Toda pessoa é capaz de direitos e deveres na ordem civil. pessoa natural - sujeita das relações jurídicas Personalidade - possibilidade de ser sujeito
5,787;5,779;1.699;Lei 10406/02;Exoneração;Art. 1.699. Se, fixados os alimentos, sobrevier mudança na situação financeira de quem os supre, ou na de quem os recebe, poderá o interessado reclamar ao juiz, conforme as circunstâncias, exoneração, redução ou majoração do encargo. (CC)
