cod_assunto;cod_item_pai;artigo;dispositivo_legal;nome
6,123;6,12;"art. 29-B; art. 33";"Lei 8.213/91; Decreto 3048/99";RMI pela equivalência entre Salário-de-Benefício e Salário-de-Contribuição
6,124;6,12;Art. 21, Art. 201, §2º, Arts. 29, §2º, 31 e 33 Arts. 28 e 29;Lei 3807/60 (LOPS), Dec-Lei 66/66, Leis 5.890/73, 7.787/89, 8.870/94, (8.880/94), (CF/88), EC 20/98, (Lei 8.213/91), (Lei 8.212/91), EC 32/01, Lei 10.699/03;RMI sem incidência de Teto Limitador
6,125;6,12;"art. 53 do inciso II, III e par. único; ;";"ADCT; CF/88";RMI da pensão de dependente de ex-combatente
6,126;6,12;"Art. 201, §2º; art. 28 §5º; Arts. 29, §2º e 33; ; ; ;";"CF/88; 8.212/91; 8.213/91; Lei 3.807/60 (LOPS), Dec-Lei 66/66; Leis 5.890/73; 7.787/89; 8.870/94; 8.880/94";Benefício mínimo a partir da CF/88 (art. 201, § 2º CF/88)
6,127;6,12;(Art. 21), (Art. 201, §2º), (Arts. 29, §2º, 31 e 33) (Arts. 28 e 29);Lei 3.807/60 (LOPS), Dec-Lei 66/66, Leis 5.890/73, 7.787/89, 8.870/94, (8.880/94), (CF/88), EC 20/98, Leis (8.213/91), (8.212/91), EC 32/01, Lei 10.699/03;Parcelas e índices de correção do salário-de-contribuição
6,128;6,12;(Arts. 29, §2º, 31 e 33) (Arts. 28 e 29);Lei 8.870/94, (8.880/94), (CF/88), EC 20/98, Leis (8.213/91), (8.212/91), EC 32/01, Lei 10.699/03;Limitação do salário-de-benefício e da renda mensal inicial
6,129;6,12;"art. 5º, inc. II e III, redação original e art. 3º, § 7º, redação dada pela Lei 6210/75; art. 40; art. 23; art. 14; Arts. 23 e 33; art. 1º, § 3º";"Lei 5890/73; Decreto 83.080/79; Decreto 89.312/84; Lei 6.708/79; CLPS; Lei 6.205/75";RMI cuja salário-de-benefício supera menor valor teto
6,13;6,12;"art. 13; art. 6º; art. 43 e 53 §2º; art. 233; art. 29";"Lei 5890/73; Lei 6332/76; Decreto 83.081/79; Decreto 90.817/86; Decreto 72.771/73 ; Lei 8.212";Escala de Salário-Base
6,131;6,12;"art.13; art. 6o, art. 43 e 53 §2º; ; art. 233; art. 29";"Lei 5890/73; Lei 6332/76;Decreto 83.081/79; Decreto 90.817/86; Decreto 72.771/73; Lei 8.212; Súmula 50 TRF4ªR.";Contribuição sobre vinte salários mínimos
6,132;6,12;art. 6ª;Lei 9876/99;Cálculo do Benefício de acordo com a Sistemática anterior à Lei 9.876/99
6,133;6,12;art. 1º e 2º;Lei 10.999/2004;IRSM de Fevereiro de 1994(39,67%)
6,134;6,12;"art. 75;";"Leis 8.213/1991; L 9.032/1995";Alteração do coeficiente de cálculo de pensão
6,135;6,12;"art. 44, art. 57§1º;";"Leis 8.213/1991; 9.032/1995";Alteração do coeficiente de cálculo do benefício
6,136;6,12;art. 29, § 6º;Lei 8.213/91;Cálculo do benefício de segurado especial de acordo com a Lei 9.876/99
6,137;6,12;"art. 29 inc. I;";"Lei 8.213/91; Lei 9.876/99";Cálculo do fator previdenciário - Lei 9.876/99
6,139;6,138;";art. 2º; art. 2º";"Lei 6708/79; Dec-Lei 2171/84; Lei 7.604/87";Reajuste pela Súmula 260 do TFR
6,14;6,138;"; art.58";"CF/88; ADCT";Art. 58 ADCT da CF/88
6,141;6,138;art. 2º;Dec-Lei 2.351/87;Utilização do PNS no Reajuste de Benefícios
6,142;6,138;art. 41-A;"Lei 8213/91; Medida Provisória nº 316/2006; Lei 11.430/2006";Manutenção do Benefício pela equivalência salarial
6,143;6,138;art. 1º;Lei 6.899/81;Expurgos inflacionários sobre os benefícios
6,144;6,138;art. 1º;Lei 7789/89;Salário Mínimo de Ncz$ 120,00 para junho/89
6,145;6,138;art. 276;Decreto 357/91;Reajuste de 147%
6,146;6,138;"Art. 41 §9º;";"Lei 8213/91; MP 1.415/96";Reajustamento pelo IGP-DI
6,147;6,138;art.29B;Lei 8213/91;Aplicação de coeficiente de cálculo diverso do fixado na Lei n.º 8.213/91
6,148;6,138;"art. 41 inciso II; ; ; ; ; ; ; ; ; ;";"Lei 8.213/91; MPs 637/94; 679/94; 728/94; 782/94; 848/95; 908/95; 951/95; 976/95; 1002/95; Lei 9.063/95";Reajuste aplicado ao salário mínimo em setembro/94
6,149;6,138;Art. 20, inc. I;Lei 8.880/94;Sistemática de conversão dos benefícios previdenciários em URVs
6,15;6,138;art. 8º §3º;MP 1.415/96;Reajustamento pelo INPC
6,151;6,138;art. 144;Lei 8.213/91;Art. 144 da Lei 8.213/91 e/ou diferenças decorrentes
6,152;6,138;"art. 201 § 6º; art. 5º";"CF/88; Lei 8.114/90";Gratificação Natalina a partir da CF/88 (Art. 201, § 6º CF/88)
6,153;6,138;"art. 146; alínea b do § 6° do art. 9°";"Lei 8213/91; Lei 8178/91";Abono da Lei 8.178/91
6,154;6,138;art. 10, II;Lei 8222/91;Índice de 4,02% da Lei 8.222/91
6,155;6,138;"art. 2º ; ;";"Dec-Lei 1910/81; Lei 6439/77; Lei 7.485/86";Desconto do DL 1.910/81
6,156;6,138;"art. 115; art. 154, II, § 3º; art. 227, II, § 3º";"Lei 8213/91; Dec. 3.048/99; Dec. 2.172/97";Descontos dos benefícios
6,159;6,138;"art. 201 §5º ; art. 1º";"CF 88; Portaria 714/93";Reajuste conforme Portaria MPAS 714/1993
6,161;6,16;"art. 89 a 93; art. 212";"Lei 8213/91; Dec-357/91";Habilitação e Reabilitação Profissional
6,162;6,16;"art. 103A; ; ;";"Lei 8213/91;MPR-1523-9/97 convertida na Lei-9528/97; MPR-1663-15 convertida na Lei-9711/98";Decadência/Prescrição
6,164;6,16;art. 78;Lei 8.213/91;Declaração de Ausência
6,165;6,16;"Art. 39; art. 21; art. 32; Art. 34 e 98; artigo 11 §2º, art.32 I, II III, 96 III";"Dec. 83.080/79; Dec. 89.312/84; Decreto 611/92; Decreto 3.04899; Lei 8.213 /91";Atividade concomitante
6,166;6,16;"art. 11, §3º e 18, §2º;";"Lei 8213/91; Lei 9032/95.";Renúncia ao benefício
6,167;6,16;"art. 116; art. 155";"Lei 8.213/91; Decreto 3048";Demonstrativo das importâncias pagas
6,168;6,16;"art. 24 e 142;";"Lei 8.213/91; Lei 10.666/2003";Períodos de Carência
6,169;6,16;"art.48; ; art. 9º";"Lei 8.213/91; Lei 10.666/03; E.C. 20/98";Limite Mínimo de Idade
6,17;6,16;"art. 15; art. 13;";"Lei 8.213/91; Decreto 3048/99; Lei 10.666/03";Perda da qualidade de segurado
6,171;6,16;"art. 16; art. 22";"Lei 8.213/91; Decreto 3048/99";Inclusão de Dependente
6,172;6,16;art. 9º §1º e inciso II;E.C. 20/98;"Regra de Transição para Aposentadoria - &quot;Pedágio&quot;"
6,174;6,173;art. 49, 54, 57 §2º, 60, 74;Lei 8.213/91;Data de Início de Benefício (DIB)
6,175;6,173;"art. 86 §2º, art. 124 inciso I, II, III, IV, V e VI, § único, art. 124;";"Lei 8.213/91; Lei 9032/95";Cumulação
6,176;6,173;art. 103 e 112;Lei 8.213/91;Parcelas de benefício não pagas
6,177;6,173;arts. 24 a 86;Lei 8213/91;Concessão
6,178;6,173;art. 77, II, §2º;Lei 8213/91;Restabelecimento
6,179;6,173;arts. 16, 26, 74;Lei 8213/91;Conversão
6,182;6,181;"art. 57 e 58; art. 70-A e art.193; ; ;";"Lei 8.213/91; Decreto 3.048/99; Lei 9032/95 ; Lei 9.711/98; Decreto 4.827/2003";Averbação/Cômputo/Conversão de tempo de serviço especial
6,183;6,181;"art. 11 §1º, 55 §2º,106 e 143; art. 55, 106 e 143; art. 25; art. 9º inciso VI §5º; art. 195 § 8º";"Lei 8213/91; Lei 9.063/95; Lei 8.212/91; Decreto 3048/99; CF/88";Averbação/Cômputo de tempo de serviço de segurado especial (regime de economia familiar)
6,184;6,181;"art. 11 §1º, art. 55 e 106; art.12 inciso V; art. 61, 128 §3º, art. 348 §1º";"Lei 8213/91; Lei 9.876/99; Lei 8.212/91; Decreto 3048/99";Averbação/Cômputo de tempo de serviço rural (empregado/empregador)
6,185;6,181;"Art. 58; art. 58;";"Decreto 611/92; Decreto 2.172/97; Decreto 4.073/42";Averbação/Cômputo do tempo de serviço como aluno aprendiz
6,186;6,181;"art. 55 inc. I; art. 60 inc.IV";"Lei 8.213/91; Decreto 3048/99";Averbação/Cômputo do tempo de serviço militar
6,187;6,181;"; ; art. 55 §1º; - Art. 30 Inciso I (com a redação do Dec. 3265/99) e art. 60 inc. I";"Lei 5.859/72; Decreto 71.885/73; Lei 8.213/91; Decreto 3048/99";Averbação/Cômputo de tempo de serviço de empregado doméstico
6,188;6,181;"art.55; art. 60 inciso I";"Lei 8.213/91; Decreto 3048/99";Averbação/Cômputo de tempo de serviço urbano
6,189;6,181;"art. 130;";"Decreto 3048/99; Decreto 3668/2000";Certidão de Tempo de Serviço
6,19;6,181;"art. 94; ; ; ; ; ; ; art. 125";"Lei 8213/91; Lei 6.226/75; Leis 6.864/80; 8.870/94 Decretos nºs 76.326/75; 83.080/79; 357/91; 611/92; 2.172/97; 3.048/99";Contagem Recíproca de Tempo de Serviço
6,192;6,191;"12;";"CF1988; L 818/1949";Nacionalidade
6,193;6,192;"12, I; 1º";"CF1988; L 818/1949";Aquisição
6,194;6,192;"12, § 4º, II; 22 a 34";"CF1988; L 818/1949";Perda
6,195;6,192;"12, II; 7º a 21; 111 a 124";"CF1988; L 818/1949; L 6.815/1980";Concessão de Naturalização
6,196;6,192;"5º, LI, 12, § 4º, I; 22, III, 24 e segs.";"CF1988; L 818/1949";Cancelamento de Naturalização
6,197;6,191;"22, XIII, 109, X;";"CF1988; L 6.815/1980";Estrangeiro
6,198;6,197;1º a 94;"L 6.815/1980; L 7.685/1988; D 86.715/1981";Admissão / Entrada / Permanência / Saída
6,199;6,197;28 e 29;"L 6.815/1980; L 9.474/1997; D 70.946/1972";Asilo
6,201;6,197;4º;Declaração Sociolaboral do MERCOSUL;Trabalhador Migrante ou Fronteiriço do MERCOSUL
6,202;6,191;art. 109, V-A e § 5º;CF1988;Proteção Internacional a Direitos Humanos
6,207;6,203;"109, X; 202, 210";"CF1988; CPC";Mercosul
6,212;6,191;109, III;Constituição Federal;Tratado Internacional
6,213;6,191;109, III;Constituição Federal;Normas do Mercosul
6,214;6,191;7;LICCvB (DL 4.657/1942);Casamento e Divórcio
6,215;6,191;"10; 89";"LICCvB (DL 4.657/1942); CPC";Sucessão de Bens de Estrangeiro
6,216;6,191;"7º;";"LICCvB (DL 4.657/1942); D 56.826/1965; D 2.428/1997";Prestação de Alimentos
6,217;6,191;"1.134 a 1.141; 11, § 1º";"CCvB2002; LICCvB (DL 4.657/1942)";Funcionamento de Empresa Estrangeira
6,218;6,191;11;LICCvB (DL 4.657/1942);Pessoa Jurídica Estrangeira
6,219;6,191;9;LICCvB (DL 4.657/1942);Contratos Internacionais
6,226;7,779;6º, VI, e 43;Lei 8.078/1990 (C.D.C.);Inclusão Indevida em Cadastro de Inadimplentes
6,233;7,771;Artigo 54, do C.D.C.;Lei n. 9.656/99 e Lei n. 8.078/90 (C.D.C.);Planos de Saúde
6,238;5,779;24;Lei 5478/68;Oferta
6,239;5,779;1.694;Lei 10406/02;Fixação
7,618;7,771;18, 19 e 20;Lei n. 8.078/90 (C.D.C.);Turismo
7,619;7,771;53,§2º;Lei n. 8.078/90 (C.D.C.);Consórcio
7,62;7,771;arts. 1º a 9º;Lei n. 9.870/99;Estabelecimentos de Ensino
7,621;7,771;Artigo 54, do C.D.C., e 757 e 802, do C.C.;Código Civil e Lei n. 8.078/90 (C.D.C.);Seguro
7,626;7,617;6º, III, e 22, C.D.C.;Lei n. 9.472/97 e Lei n. 8.078/90 (C.D.C.);Assinatura Básica Mensal
7,627;7,617;6º, III, e 22;Lei n. 8.078/90 (C.D.C.);Pulsos Excedentes
7,656;5,626;1723 a 1727;Lei 10406/02;União Estável ou Concubinato
7,657;5,626;"1728 e 1767; 36 a 38";"Lei 10406/02; Lei 8.069/90 (ECA)";Tutela e Curatela
7,659;5,626;1.639;Lei 10406/02;Regime de Bens Entre os Cônjuges
7,66;5,626;1689;Lei 10406/02;Usufruto e Administração dos Bens de Filhos Menores
7,661;5,626;1711;Lei 10406/02;Bem de Família
7,664;5,808;1571, III e IV, 1.572, caput e §§ 1o e 2o, 1.574 e 1.580;Lei 10406/02;Dissolução
7,667;10,577;1608 e 1.615;Lei 10406/02;Investigação de Maternidade
7,671;10,577;1.623;Lei 10406/02;Adoção de Maior
7,672;7,656;Arts. 1º a 5º;IN 25/2000 (INSS);União Homoafetiva
7,676;7,673;"1.791; 1.797; 1.991";Lei 10406/02;Administração de herança
7,677;7,656;1723;Lei 10406/02;Reconhecimento / Dissolução
7,687;7,673;1796 (CC), 983 (CPC) e 1o (Lei 6858);Lei 10406/02, Lei 5869/73 e Lei 6858/80;Inventário e Partilha
7,689;7,688;299 a 303;Lei nº 10.406/02 (Código Civil;Assunção de Dívida
7,694;7,681;"854 a 886;";"Lei nº 10.406/02 (Código Civil) - arts. 854 a 886;";Atos Unilaterais
7,696;7,681;"- arts. 955 a 965;";Lei nº 10.406/02 (Código Civil);Preferências e Privilégios Creditórios
7,697;7,691;Súmula 54 do STJ;Súmula 54 do STJ;Correção Monetária
7,698;7,691;arts. 402 a 405;Lei nº 10.406/02 (Código Civil);Perdas e Danos
7,7;7,691;"- arts. 408 a 416;";Lei nº 10.406/02 (Código Civil);Cláusula Penal
7,701;7,691;"- arts. 417 a 420;";Lei nº 10.406/02 (Código Civil);Arras ou Sinal
7,703;7,69;arts. 304 a 388;Lei nº 10.406/02 (Código Civil);Pagamento
7,704;7,69;arts. 334 a 345;Lei nº 10.406/02 (Código Civil);Pagamento em Consignação
7,705;7,69;arts. 346 a 351;Lei nº 10.406/02 (Código Civil);Pagamento com Sub-rogação
7,706;7,69;"arts. 352 a 355;";Lei nº 10.406/02 (Código Civil);Imputação do Pagamento
7,707;7,69;arts. 356 a 359;Lei nº 10.406/02 (Código Civil);Dação em Pagamento
7,708;7,69;arts. 360 a 367;Lei nº 10.406/02 (Código Civil);Novação
7,709;7,69;368 a 380;Lei 10406/02;Compensação
7,71;7,69;-arts. 381 a 384;Lei nº 10.406/02 (Código Civil);Confusão
7,711;7,69;arts. 385 a 388;Lei nº 10.406/02 (Código Civil);Remissão das Dívidas
7,712;7,694;arts. 854 a 860;Lei nº 10.406/02 (Código Civil);Promessa de Recompensa
7,713;7,694;arts. 861 a 875;Lei nº 10.406/02 (Código Civil);Gestão de Negócios
7,714;7,694;art. 876 a 883;Lei nº 10.406/02 (Código Civil);Pagamento Indevido
7,715;7,694;arts. 884 a 886;Lei nº 10.406/02 (Código Civil) -;Enriquecimento sem Causa
7,717;7,681;- arts. 921 a 926;Lei nº 10.406/02 (Código Civil);Espécies de Títulos de Crédito
7,732;7,725;46;Lei 6.015/1973;Registro de nascimento após prazo legal
7,735;7,725;109;6.015/1973;Retificação de Nome
7,737;7,729;26, §3º;9492;Cancelamento de Protesto
7,748;4,862;14;Lei n. 8.078/90 (C.D.C.);Acidente Aéreo
7,752;7,771;52 e 53;Lei n. 8.078/90 (C.D.C.);Bancários
7,757;6,094;"art. 61; art. 250/269; art. 161/172";"Lei 8.213/91; Decreto 83080/79; Decreto 89.312/84";Auxílio-Doença Acidentário
7,76;7,771;22;Lei n. 8.078/90 (C.D.C.);Fornecimento de Energia Elétrica
7,761;7,771;52;Lei n. 8.078/90 (C.D.C.);Fornecimento de Água
7,767;6,22;18, § 1º, I, e 19, III;Lei n. 8.078/90 (C.D.C.);Substituição do Produto
7,768;6,22;art. 18, § 1º, II, 19, IV, e 20, II;Lei n. 8.078/90 (C.D.C.);Rescisão do contrato e devolução do dinheiro
7,769;6,22;18, §1º, I, 19, I, e 20, I;Lei n. 8.078/90 (C.D.C.);Abatimento proporcional do preço
7,77;6,22;6º, V, e 47;Lei n. 8.078/90 (C.D.C.);Interpretação / Revisão de Contrato
7,772;7,771;52;Lei n. 8.078/90 (C.D.C.);Cartão de Crédito
7,773;7,771;52;Lei n. 8.078/90 (C.D.C.);Financiamento de Produto
7,774;7,771;14, §4º;Lei n. 8.078/90 (C.D.C.);Serviços Profissionais
7,775;7,771;14 e 20;Lei n. 8.078/90 (C.D.C.);Serviços Hospitalares
7,776;7,771;14;Lei n. 8.078/90 (C.D.C.);Transporte Terrestre
7,78;6,22;12, 14, 18, §1º, II, 19, IV, e 20, II;Lei n. 8.078/90 (C.D.C.);Indenização por Dano Material
7,781;7,779;6º, VI;Lei n. 8.078/90 (C.D.C.);Protesto Indevido de Título
7,785;7,79;43;cp;Prestação Pecuniária
7,786;7,79;43;cp;Perda de Bens e Valores
7,787;7,79;43;cp;Prestação de Serviços à Comunidade
7,788;7,79;art. 43;cp;Interdição Temporária de Direitos
7,789;7,79;Art 43;cp;Limitação de Fim de Semana
7,791;7,942;Art. 33 a 42;CP;Pena Privativa de Liberdade
7,792;7,942;49;CP;Pena de Multa
7,794;7,793;97;CP;Tratamento Ambulatorial
7,795;7,793;"97; 112, § 1.º; 659 e ss";"CP; CPM; CPPM";Internação
7,797;7,783;arts. 457 a 483;Ccom;Quanto à Embarcação
7,798;7,783;art. 8º, II, 10, IV;Lei 9537;Quanto à Carga
7,799;7,784;arts. 29 e 30, §§ 1º e 2º;DL 2538/40;Clandestinos
7,834;7,725;109;Lei 6.015;Retificação de Data de Nascimento
7,835;7,725;art. 3º;Dec. 678/1992;Retificação de Sexo
7,897;7,895;277;Lei 6.015;Inscrição na Matrícula de Registro Torrens
7,898;7,895;260;Lei 6.015;Instituição de Bem de Família
7,899;7,895;214, § 3º;L 6.015/1973;Bloqueio de Matrícula
7,911;7,896;266;Lei 6.015;Por Remição
7,912;7,896;253;6.015;Por Terceiro Prejudicado
7,925;7,725;83;6015/73;Registro de Óbito após prazo legal
7,926;7,725;32, § 2º;Lei 6.015/1973;Registro de Nascimento de Filho de Brasileiro Nascido no Exterior
7,928;1,209;"310; 270";"CPP; CPPM";Liberdade Provisória
7,929;1,209;"301; 243";"CPP; CPPM";Prisão em flagrante
7,935;4,263;60;CPP;Perempção
7,937;1,209;439 e 440;CPP;Inclusão/exclusão de Jurado
7,94;4,305;"581; 576";"CPP; CPPM";Deserção
7,941;4,305;"581; 516, ""q""";"CPP; CPPM";Denegação
7,945;1,209;"581, XVIII; 163";"CPP; CPPM";Falsidade
7,947;899;arts. 104 a 232;Lei 10406/02;Fatos Jurídicos
7,949;5,754;art. 20, parágrafo único;Lei 10406/02;Direitos da Personalidade
7,952;9,981;Artigos: Art. 44, IV, § 1º e 2.031, parágrafo único.;Lei nº 10.406/02 (Código Civil) -;Organizações Religiosas
7,953;9,981;artigo 44, inciso V e § 3º;Lei nº 10.406/02 (Código Civil) -;Partido Político
8,805;1,937;artigo 10 e 448;CLT;Sucessão de Empregadores
8,806;1,937;455;CLT;Subempreitada
8,809;8,808;"CF, Art. 7º, XXVIII; Lei 10406/02, arts. 186, 932; Lei 8213/91, art. 19.";"CF; Lei 10406/02";Acidente de Trabalho
8,829;8,828;Arts. 86 a 124;CPC;Competência
8,838;8,828;Artigo único;Decreto legislativo nº 4/1948;Imunidade de Jurisdição
8,843;8,842;98 a 102;CPC;Assistência Judiciária Gratuita
8,859;8,842;119 a 138;CPC;Intervenção de Terceiros
8,865;8,842;79 a 81;CPC;Litigância de Má-Fé
8,866;8,842;113 a 118;CPC;Litisconsórcio
8,867;8,842;108 a 112;CPC;Sucessão Processual
8,868;8,842;104 e 105;CPC;Procuração
8,873;8,842;75;CPC;Representação em Juízo
8,875;8,826;176 a 181;CPC;Ministério Público
8,888;8,883;149 a 175;CPC;Dos Auxiliares da Justiça
8,919;8,893;276 a 283;CPC;Nulidade
8,928;8,893;218 a 235;CPC;Prazo
8,934;8,893;291 a 293;CPC;Valor da Causa
8,939;8,938;313 a 315;CPC;Suspensão do Processo
8,941;8,938;329;CPC;Modificação ou Alteração do Pedido
8,942;8,938;267;CPC;Extinção do Processo Sem Resolução de Mérito
8,961;8,96;273 e 461;CPC;Antecipação de Tutela / Tutela Específica
8,986;8,96;283;CPC;Erro de Procedimento
9,024;8,96;344 a 346;CPC;Revelia
9,026;8,96;489 a 495;CPC;Vícios Formais da Sentença
9,047;9,045;"987, caput e § 1º; 1.012; 1.019, I; 1.026, caput; 1.029, § 5º (CPC); 584, caput; 597; 598, caput; 637; 646 (CPP); 893, § 2º; 896, § 1º ; 899, caput (CLT); 257, caput e § 2º (Código Eleitoral); 65, § 2º, 106, §§1º e 2º;194,par. único e outros (CPPM)";CPC, CPP, CLT, Código Eleitoral, CPPM, Lei n. 9.099/1955;Efeitos
9,05;9,045;"99, §§ 5º e 7º; 1.007; 1.023, caput (CPC); 14, II (Lei 9.289/1996); 806, § 2º (CPP); 896, § 14; 899 (CLT); 275, § 2º (Código Eleitoral); 712 (CPPM); 42; 54, parágrafo único (Lei n. 9.099/1995)";CPC, Lei n. 9.289/1996, CPP, CLT, Código Eleitoral, CPPM, Lei n. 9.099/1995;Preparo / Deserção
9,06;9,045;Arts. 506 a 508;CPC;Prazo
9,098;9,045;"102, II e III; 105, II e III (CF); 994; 1.009; 1.015; 1.021, caput; 1.022; 1.027; 1.030, I, III, V e §§ 1º e 2º; 1.035, caput e §§ 1º a 3º, 6º e 7º; 1.036, §§ 2º e 3º; 1.037, §§ 9º e 13; 1.042, caput ; 1.043 (CPC); 581; 593 , I a III; 619; 639 (CPP)";Constituição Federal, CPC, CPP, CLT, Código Eleitoral, CPPM e Lei n. 9.099/1995;Cabimento
9,16;9,148;"520, IV; 526, caput e § 1º; 537, § 3º; 904 a 906; 908; 916, caput e § 2º";CPC;Levantamento de Valor
9,163;9,148;831 a 875;CPC;Penhora / Depósito/ Avaliação
9,166;9,148;"523, caput e § 1º; 526, § 2º; 702, §§ 10 e 11; 895, caput e § 4º; 915, § 5º, II";CPC;Multa de 10%
9,178;9,148;"525, §1º, III; 535, III, § 5º; 803,I; 917, I";CPC;Inexequibilidade do Título / Inexigibilidade da Obrigação
9,18;9,148;876 a 903;CPC;Expropriação de Bens
9,189;9,148;826;CPC;Remição
9,196;9,192;300, § 2º;CPC;Liminar
9,258;8,842;95;CPC;Honorários Periciais
9,414;9,148;924 e 925;CPC;Extinção da Execução
9,418;9,148;797, parágrafo único;CPC;Concurso de Credores
9,419;9,148;114, VIII;CF;Execução Previdenciária
9,45;9,148;"792; 828, § 4º; 855, § 3º";CPC;Fraude à Execução
9,453;9,148;22º, 3;DL 48.295/1968 (Convenção de Viena);Imunidade de Execução
9,484;9,148;790, I;CPC;Sucessão
9,493;8,842;70 a 76;CPC;Capacidade Processual
9,494;8,842;41 a 43;CPC;Substituição da Parte
9,517;9,148;525, § 1º, VII;CPC;Causas Supervenientes à Sentença
9,518;9,148;525 a 920;CPC;Efeito Suspensivo / Impugnação / Embargos à Execução
9,519;9,148;794 e 795;CPC;Benefício de Ordem
9,52;9,148;774 e 903, § 6º;CPC;Ato Atentatório à Dignidade da Justiça
9,524;9,192;302;CPC;Indenização do Prejuízo
9,532;9,192;"83; 300, § 1º; 337, XII; 520, IV; 521; 525, §§ 6º e 10; 559; 641, § 2º; 678, parágrafo único; 704, IV; 708, § 3º; 840, III; 917, § 6º";CPC;Caução
9,533;5,724;Arts. 1.097 a 1.122;Lei nº 10.406/02 (Código Civil) -;Coligação
9,534;5,724;Arts. 1.113 a 1.115.;Lei nº 10.406/02 (Código Civil) -;Transformação
9,535;5,724;Arts. 1.116 a 1.118;Lei nº 10.406/02 (Código Civil) -;Incorporação
9,536;5,724;Arts. 1.033 a 1.038;Lei nº 10.406/02 (Código Civil) - .;Fusão
9,537;5,724;Art. 1.122.;Lei nº 10.406/02 (Código Civil) -;Cisão
9,538;5,724;Arts. 1.102 a 1.112.;Lei nº 10.406/02 (Código Civil) -;Liquidação
9,539;5,724;Art: 1.081 a 1.084;Lei nº 10.406/02 (Código Civil) -: .;Alteração de capital
9,541;5,754;1553;Lei 10406/02;Capacidade
9,542;5,754;arts. 22 a 25;Lei 10406/02;Curadoria dos bens do ausente
9,543;5,754;"7º; 26 a 36";Lei 10406/02;Sucessão Provisória
9,545;4,897;Art. 54, II;Lei 10406/02;Inclusão de associado
9,546;4,897;artigo 54, inciso II;Lei nº 10.406/02 (Código Civil) -;Exclusão de associado
9,547;4,905;"Artigo 65, in fine parágrafo único; e artigo 66";Lei nº 10.406/02 (Código Civil) -;Fiscalização
9,549;7,953;"artigos 15, II; 21; 22 e 25";Lei 9.096/95 %u2013;Exclusão de filiado
9,55;7,953;"artigos 2º; 27; 29, § 1º e seus incisos I e II, § 4º e § 6º";Lei nº 9.096/95 %u2013;Fusão
9,551;7,953;"arts 45; 47; § 1º e incisos, §§ 6º, 8º e 9º,arts 8º; 9º, § 1º, 11, 12, 18, §§ 1º e 2º e 19 ao 28; Lei 9.096/95 %u2013 artigo 8º, § 3º";Eleições - Resolução nº 19.406 do TSE -;Eleições - Diretórios
9,555;4,993;Art. 129 a 138;Lei: 11.101/05;Ineficácia de atos em relação à massa
9,556;4,993;Art. 73 e 74.;Lei: 11.101/05;Convolação de recuperação judicial em falência
9,558;4,993;"Arts. 21 a 34; 64 e 65";Lei: 11.101/05;Administração judicial
9,559;4,993;Arts. 83 e 84;Lei: 11.101/05;Classificação de créditos
9,565;6,191;art. 9;LICCvB (DL 4.657/1942);Laudo Arbitral Internacional
9,575;4,949;arts. 16 a 18;Lei Federal nº 9492/97;Sustação de Protesto
9,581;9,58;"arts. 710 a 721;";Lei nº 10.406/02 (Código Civil) -;Agêncie e Distribuição
9,582;9,58;Lei 9514, art. 22;"Decreto-Lei nº 911/69 e Lei Federal nº 9514/97;";Alienação Fiduciária
9,583;9,58;"arts. 95 e 95-A;";Lei Federal nº 4504/64 (Estatuto da Terra),;Arrendamento Rural
9,584;9,58;Lei 6099, art. 1º;Lei Federal nº 6099/74, Resolução BACEN nº 2309/96;Arrendamento Mercantil
9,585;9,58;"CDC, art. 39, III, 52; Lei 4594, art. 4º, VI, 10, VI; Decreto 22626, art. 1º";CDC, Lei 4595/64, Decreto 22626/33;Cartão de Crédito
9,586;9,58;- arts. 693 a 709;Lei nº 10.406/02 (Código Civil);Comissão
9,587;9,58;arts. 481 a 532;Lei nº 10.406/02 (Código Civil) -;Compra e Venda
9,588;9,58;art. 722;Lei nº 10.406/02 (Código Civil);Corretagem
9,589;9,58;"- arts. 627 a 652;";Lei nº 10.406/02 (Código Civil);Depósito
9,59;9,58;"- arts. 538 a 564;";Lei nº 10.406/02 (Código Civil);Doação
9,591;9,58;"- arts. 610 a 626;";Lei nº 10.406/02 (Código Civil);Empreitada
9,592;9,58;"- arts. 818 a 839;";Lei nº 10.406/02 (Código Civil);Fiança
9,594;9,58;- arts. 653 a 692;"Lei nº 10.406/02 (Código Civil) ;";Mandato
9,595;9,58;"- art. 533;";Lei nº 10.406/02 (Código Civil);Troca ou Permuta
9,596;9,58;"- arts. 593 a 609;";Lei nº 10.406/02 (Código Civil);Prestação de Serviços
9,597;9,58;"- arts. 757 a 802;";Lei nº 10.406/02 (Código Civil);Seguro
9,598;9,58;- arts. 840 a 850;Lei nº 10.406/02 (Código Civil);Transação
9,599;9,58;"arts. 743 a 756;";Lei nº 10.406/02 (Código Civil) -;Transporte de Coisas
9,6;9,58;"- arts. 734 a 742;";Lei nº 10.406/02 (Código Civil);Transporte de Pessoas
9,601;9,58;"- arts. 534 a 537;";Lei nº 10.406/02 (Código Civil);Estimatório
9,602;9,58;"- arts. 579 a 585;";Lei nº 10.406/02 (Código Civil);Comodato
